cycle,cell,psi,residual,resnorm
4,18,0.444051142172608,6.626273552079454e-08,6.67094714176808e-07
4,19,0.267274578729101,2.220446049250313e-16,6.67094714176808e-07
5,0,0.8742722105523747,-1.949655148436591e-08,2.968424505010527e-08
5,1,0.6243465209451524,6.720640821633594e-09,2.968424505010527e-08
5,2,0.3756533945430912,2.274401522672775e-08,2.968424505010527e-08
5,3,0.1257277589687322,9.645518578293988e-09,2.968424505010527e-08
5,4,0.8727423017677948,4.394113406469558e-08,2.968424505010527e-08
5,5,0.6231139644606322,5.796569391147699e-08,2.968424505010527e-08
5,6,0.3768859264594041,4.093688715789412e-08,2.968424505010527e-08
5,7,0.1272576509773563,7.308596228217112e-09,2.968424505010527e-08
5,8,0.8663253777671012,4.892734351003014e-08,2.968424505010527e-08
5,9,0.6184811666358713,5.676802139475967e-08,2.968424505010527e-08
5,10,0.381518736793424,2.034687390795042e-08,2.968424505010527e-08
5,11,0.1336745767672415,5.804579400470189e-09,2.968424505010527e-08
5,12,0.8404034693591829,2.95791604543183e-08,2.968424505010527e-08
5,13,0.602966644290349,1.890990841690865e-08,2.968424505010527e-08
5,14,0.397033297658053,1.13217660246967e-08,2.968424505010527e-08
5,15,0.1595965018700068,1.886961198405146e-09,2.968424505010527e-08
5,16,0.7327253543176248,5.871631625353757e-09,2.968424505010527e-08
5,17,0.5559486624181971,5.517186485448633e-09,2.968424505010527e-08
5,18,0.444051319000198,1.886960809827087e-09,2.968424505010527e-08
5,19,0.2672746368117008,0,2.968424505010527e-08
6,0,0.8742722216402544,1.297669749433794e-09,1.249906858569183e-09
6,1,0.6243465584631175,2.304589741264351e-09,1.249906858569183e-09
6,2,0.3756534359459097,1.715334596585905e-09,1.249906858569183e-09
6,3,0.1257277759645608,5.76440450927862e-10,1.249906858569183e-09
6,4,0.8727423293955698,2.14183359936726e-09,1.249906858569183e-09
6,5,0.6231140201077779,2.663586018414321e-09,1.249906858569183e-09
6,6,0.3768859751253853,1.575690966593157e-09,1.249906858569183e-09
6,7,0.1272576684887741,4.079517279542699e-11,1.249906858569183e-09
6,8,0.8663254073716506,1.52537227293692e-09,1.249906858569183e-09
6,9,0.6184812201106251,1.002361638136051e-09,1.249906858569183e-09
6,10,0.3815187775347705,-4.503906136932301e-10,1.249906858569183e-09
6,11,0.1336745913947196,-1.173034447354837e-10,1.249906858569183e-09
6,12,0.8404034888774307,-2.410263100216525e-10,1.249906858569183e-09
6,13,0.6029666764306632,-8.584684074719462e-10,1.249906858569183e-09
6,14,0.3970333230579614,-3.162223261021779e-10,1.249906858569183e-09
6,15,0.1595965108327499,-5.270367475773696e-11,1.249906858569183e-09
6,16,0.7327253603438134,-3.672830928280746e-10,1.249906858569183e-09
6,17,0.5559486728181671,-1.989199915897188e-10,1.249906858569183e-09
6,18,0.4440513271174394,-5.270384129119066e-11,1.249906858569183e-09
6,19,0.2672746396583649,1.110223024625157e-16,1.249906858569183e-09
7,0,0.874272222987759,1.310447306224205e-10,6.306911540640162e-11
7,1,0.6243465613112513,1.471497368399355e-10,6.306911540640162e-11
7,2,0.375653438425091,8.496869874363711e-11,6.306911540640162e-11
7,3,0.1257277768884136,2.331707049663123e-11,6.306911540640162e-11
7,4,0.8727423307708293,6.890710224638497e-11,6.306911540640162e-11
7,5,0.6231140226680537,9.454859117852266e-11,6.306911540640162e-11
7,6,0.3768859771605768,4.058703373388539e-11,6.306911540640162e-11
7,7,0.1272576691518803,-1.321498466211324e-12,6.306911540640162e-11
7,8,0.8663254082672406,2.896283213260631e-11,6.306911540640162e-11
7,9,0.618481221524106,-1.830890994369838e-11,6.306911540640162e-11
7,10,0.3815187784378694,-3.621669630859969e-11,6.306911540640162e-11
7,11,0.1336745917090897,-1.14787901406288e-11,6.306911540640162e-11
7,12,0.840403489070231,-5.574340988800941e-11,6.306911540640162e-11
7,13,0.6029666767049513,-6.085909554087721e-11,6.306911540640162e-11
7,14,0.3970333233214882,-2.788602682102237e-11,6.306911540640162e-11
7,15,0.15959651094422,-4.647671136837062e-12,6.306911540640162e-11
7,16,0.7327253603232192,-2.596411974309376e-11,6.306911540640162e-11
7,17,0.5559486728431209,-1.640776403633026e-11,6.306911540640162e-11
7,18,0.4440513271710262,-4.647837670290755e-12,6.306911540640162e-11
7,19,0.2672746396858743,0,6.306911540640162e-11
8,0,0.8742722230673574,6.999290036446837e-12,2.936395174632115e-12
8,1,0.6243465614533344,7.563172310653954e-12,2.936395174632115e-12
8,2,0.3756534385364442,3.372413459601376e-12,2.936395174632115e-12
8,3,0.1257277769276079,7.65082441844811e-13,2.936395174632115e-12
8,4,0.8727423308230945,2.044808766754613e-12,2.936395174632115e-12
8,5,0.6231140227637647,1.922018100231071e-12,2.936395174632115e-12
8,6,0.3768859772317626,4.479749904362507e-13,2.936395174632115e-12
