solver,step,grid,cell,x,r
of_gamg,16,1,1,-1.048189435434e-02,-7.774473211416e-03
of_gamg,16,1,2,-8.881591517643e-03,-1.634834440506e-03
of_gamg,16,1,3,-3.638781206369e-03,-7.058008704134e-04
of_gamg,16,1,4,-2.054554082090e-03,-3.310825483764e-03
of_gamg,16,1,5,-4.938400981174e-03,6.127120267086e-04
of_gamg,16,1,6,-5.965956244824e-03,-1.653481067792e-03
of_gamg,16,1,7,-1.992116865131e-03,-2.418793269649e-04
of_gamg,16,1,8,-1.188021171257e-03,-2.418793269649e-04
of_gamg,16,1,9,-1.002841387114e-03,-1.734723475977e-18
of_gamg,17,1,0,-4.422239325289e-03,-3.282849085143e-03
of_gamg,17,1,1,-1.193266212748e-02,-2.081328465407e-03
of_gamg,17,1,2,-9.788865515000e-03,-1.235819010173e-03
of_gamg,17,1,3,-3.998831044244e-03,-2.041709792106e-04
of_gamg,17,1,4,-2.435867620954e-03,-6.324468676660e-04
of_gamg,17,1,5,-5.205181451867e-03,-1.130324595125e-03
of_gamg,17,1,6,-6.481675579246e-03,-4.993170961894e-04
of_gamg,17,1,7,-2.196287844341e-03,-9.097513776813e-05
of_gamg,17,1,8,-1.286907097537e-03,-9.097513776813e-05
of_gamg,17,1,9,-1.093816524883e-03,8.673617379884e-19
of_gamg,18,0,0,8.747644048638e-01,1.168733818173e-03
of_gamg,18,0,1,6.262994201633e-01,-4.234717591237e-03
of_gamg,18,0,2,3.763551292186e-01,2.243443715979e-03
of_gamg,18,0,3,1.265673906743e-01,-2.426338226060e-03
of_gamg,18,0,4,8.739269331102e-01,-5.550321768208e-03
of_gamg,18,0,5,6.235440088162e-01,4.615447204414e-03
of_gamg,18,0,6,3.784420205341e-01,-5.431845921179e-03
of_gamg,18,0,7,1.274880952528e-01,1.593905009332e-03
of_gamg,18,0,8,8.657759301026e-01,6.179128832743e-03
of_gamg,18,0,9,6.201231086616e-01,-8.670314145094e-03
of_gamg,18,0,10,3.809490029276e-01,6.352993846865e-03
of_gamg,18,0,11,1.340249700648e-01,-2.644630283617e-03
of_gamg,18,0,12,8.410087375742e-01,-5.487232457046e-03
of_gamg,18,0,13,6.015531786547e-01,8.399582896390e-03
of_gamg,18,0,14,3.975589062970e-01,-5.299104052779e-03
of_gamg,18,0,15,1.590431218598e-01,3.513674693120e-03
of_gamg,18,0,16,7.322273466564e-01,3.566202618397e-03
of_gamg,18,0,17,5.559215449825e-01,-2.435981908552e-03
of_gamg,18,0,18,4.433912176930e-01,3.669770444711e-03
of_gamg,18,0,19,2.671454076303e-01,-4.381062289327e-04
of_gamg,19,0,0,8.750565883184e-01,-2.365805708297e-03
of_gamg,19,0,1,6.249852421177e-01,8.721655975006e-04
of_gamg,19,0,2,3.766648844420e-01,-1.669065831567e-03
of_gamg,19,0,3,1.260382449237e-01,-1.503216444687e-05
of_gamg,19,0,4,8.728753054474e-01,1.587910608031e-03
of_gamg,19,0,5,6.241064191902e-01,-2.910520965185e-03
of_gamg,19,0,6,3.773021004532e-01,8.455860559730e-04
of_gamg,19,0,7,1.274730630883e-01,-3.598088455288e-04
of_gamg,19,0,8,8.668014303366e-01,-2.662947328874e-03
of_gamg,19,0,9,6.183525077773e-01,2.294777112299e-03
of_gamg,19,0,10,3.818096211480e-01,-1.110890580649e-03
of_gamg,19,0,11,1.336651612192e-01,4.805568224940e-04
of_gamg,19,0,12,8.401163911295e-01,1.879801587510e-03
of_gamg,19,0,13,6.029873375466e-01,-8.623177993283e-04
of_gamg,19,0,14,3.968078245619e-01,1.042047351571e-03
of_gamg,19,0,15,1.595236786823e-01,1.006568537730e-04
of_gamg,19,0,16,7.326729893520e-01,-1.112360642082e-04
of_gamg,19,0,17,5.558103089183e-01,5.614905290763e-04
of_gamg,19,0,18,4.439527082221e-01,1.006568537729e-04
of_gamg,19,0,19,2.672460644841e-01,1.110223024625e-16
of_gamg,20,0,0,8.744651368913e-01,2.928632263335e-04
of_gamg,20,0,1,6.250788135078e-01,-1.179579248521e-03
of_gamg,20,0,2,3.761397196282e-01,-2.185475427009e-04
of_gamg,20,0,3,1.259031956791e-01,-1.156712776459e-04
of_gamg,20,0,4,8.730745972836e-01,-1.147145533250e-03
of_gamg,20,0,5,6.234520047555e-01,2.034095966252e-04
of_gamg,20,0,6,3.772186021550e-01,-3.425415236519e-04
of_gamg,20,0,7,1.273573918107e-01,2.760305976862e-05
of_gamg,20,0,8,8.663086992381e-01,5.643219925566e-04
of_gamg,20,0,9,6.186394156720e-01,-3.013691976990e-04
of_gamg,20,0,10,3.815827509020e-01,2.127725982365e-04
of_gamg,20,0,11,1.336927642790e-01,6.268589040193e-05
of_gamg,20,0,12,8.403938052273e-01,-4.680261276224e-05
of_gamg,20,0,13,6.029128385949e-01,2.881071217307e-04
of_gamg,20,0,14,3.969929941003e-01,1.404386855026e-04
of_gamg,20,0,15,1.595863645727e-01,2.340644758381e-05
of_gamg,20,0,16,7.327006856909e-01,1.029375832635e-04
of_gamg,20,0,17,5.559132465016e-01,7.775279510103e-05
of_gamg,20,0,18,4.440304610172e-01,2.340644758414e-05
of_gamg,20,0,19,2.672694709316e-01,-2.220446049250e-16
of_gamg,21,0,0,8.744651368913e-01,2.928632263335e-04
of_gamg,21,0,1,6.250788135078e-01,-1.179579248521e-03
of_gamg,21,0,2,3.761397196282e-01,-2.185475427009e-04
of_gamg,21,0,3,1.259031956791e-01,-1.156712776459e-04
of_gamg,21,0,4,8.730745972836e-01,-1.147145533250e-03
of_gamg,21,0,5,6.234520047555e-01,2.034095966252e-04
of_gamg,21,0,6,3.772186021550e-01,-3.425415236519e-04
of_gamg,21,0,7,1.273573918107e-01,2.760305976862e-05
of_gamg,21,0,8,8.663086992381e-01,5.643219925566e-04
of_gamg,21,0,9,6.186394156720e-01,-3.013691976990e-04
of_gamg,21,0,10,3.815827509020e-01,2.127725982365e-04
of_gamg,21,0,11,1.336927642790e-01,6.268589040193e-05
of_gamg,21,0,12,8.403938052273e-01,-4.680261276224e-05
of_gamg,21,0,13,6.029128385949e-01,2.881071217307e-04
of_gamg,21,0,14,3.969929941003e-01,1.404386855026e-04
of_gamg,21,0,15,1.595863645727e-01,2.340644758381e-05
of_gamg,21,0,16,7.327006856909e-01,1.029375832635e-04
of_gamg,21,0,17,5.559132465016e-01,7.775279510103e-05
of_gamg,21,0,18,4.440304610172e-01,2.340644758414e-05
of_gamg,21,0,19,2.672694709316e-01,-2.220446049250e-16
of_gamg,22,0,0,8.744674313008e-01,2.689866491292e-04
of_gamg,22,0,1,6.250663017991e-01,-1.200195379931e-03
of_gamg,22,0,2,3.761103654135e-01,-2.043600487385e-04
of_gamg,22,0,3,1.258870887720e-01,-1.011682125917e-04
of_gamg,22,0,4,8.730724100531e-01,-1.178222015115e-03
of_gamg,22,0,5,6.234209133030e-01,2.210407744219e-04
of_gamg,22,0,6,3.771733456208e-01,-2.947489734184e-04
of_gamg,22,0,7,1.273368214618e-01,4.890220888715e-05
of_gamg,22,0,8,8.662954836465e-01,5.658983359171e-04
of_gamg,22,0,9,6.185926365136e-01,-2.520010988663e-04
of_gamg,22,0,10,3.815305333314e-01,2.726914010491e-04
of_gamg,22,0,11,1.336725751250e-01,7.767841518030e-05
of_gamg,22,0,12,8.403782700017e-01,-3.069436900205e-05
of_gamg,22,0,13,6.028716146747e-01,3.392298882936e-04
of_gamg,22,0,14,3.969562674672e-01,1.686645278094e-04
of_gamg,22,0,15,1.595731992472e-01,2.811075463527e-05
of_gamg,22,0,16,7.326935573184e-01,1.154406961321e-04
of_gamg,22,0,17,5.558985146047e-01,9.098611262970e-05
of_gamg,22,0,18,4.440183871431e-01,2.811075463471e-05
of_gamg,22,0,19,2.672652643984e-01,0.000000000000e+00
of_gamg,23,1,0,0.000000000000e+00,-9.092353659859e-04
of_gamg,23,1,1,0.000000000000e+00,-9.791546055087e-04
of_gamg,23,1,2,0.000000000000e+00,-4.991090221569e-04
of_gamg,23,1,3,0.000000000000e+00,-5.226600370456e-05
of_gamg,23,1,4,0.000000000000e+00,5.352039669151e-04
of_gamg,23,1,5,0.000000000000e+00,8.722878942735e-05
of_gamg,23,1,6,0.000000000000e+00,4.413559288585e-04
of_gamg,23,1,7,0.000000000000e+00,1.057891698156e-04
of_gamg,23,1,8,0.000000000000e+00,2.064268087618e-04
of_gamg,23,1,9,0.000000000000e+00,2.811075463471e-05
of_gamg,24,2,0,0.000000000000e+00,-2.300270204224e-03
of_gamg,24,2,1,0.000000000000e+00,5.352316611101e-05
of_gamg,24,2,2,0.000000000000e+00,7.416307756769e-04
of_gamg,24,2,3,0.000000000000e+00,4.694666834932e-04
of_gamg,25,2,0,-1.842168819239e-04,-4.336808689942e-19
of_gamg,25,2,1,-2.715611416822e-05,5.421010862428e-20
of_gamg,25,2,2,-5.295365001434e-07,1.084202172486e-19
of_gamg,25,2,3,-1.270629548334e-05,1.084202172486e-19
of_gamg,26,1,0,-1.825998094763e-04,-3.933793326229e-04
of_gamg,26,1,1,-3.800478030257e-04,1.613953845767e-04
of_gamg,26,1,2,-1.869122619649e-04,-4.823210151880e-04
of_gamg,26,1,3,-6.397941167438e-05,2.682962523594e-05
of_gamg,26,1,4,-2.247026919606e-06,3.302477301249e-04
of_gamg,26,1,5,-2.066488216061e-05,-2.317643997344e-04
of_gamg,26,1,6,-2.971887345551e-05,4.001911087696e-04
of_gamg,26,1,7,5.064271149669e-06,-5.950673480239e-05
of_gamg,26,1,8,9.971216504898e-07,1.731762279920e-04
of_gamg,26,1,9,-1.364576835220e-06,1.673446549635e-05
of_gamg,27,1,0,-2.387968569938e-04,5.385685114255e-05
of_gamg,27,1,1,-3.702475451174e-04,-2.106634449442e-04
of_gamg,27,1,2,-2.794563618392e-04,-2.467315824379e-06
of_gamg,27,1,3,-8.658777946189e-05,4.229671139242e-07
