solver,grid,row,col,value
amgx,1,3,3,7.000000000000e+00
amgx,1,3,5,-2.000000000000e+00
amgx,1,4,2,-2.000000000000e+00
amgx,1,4,4,7.000000000000e+00
amgx,1,4,5,-1.000000000000e+00
amgx,1,4,6,-2.000000000000e+00
amgx,1,5,3,-2.000000000000e+00
amgx,1,5,4,-1.000000000000e+00
amgx,1,5,5,7.000000000000e+00
amgx,1,5,7,-2.000000000000e+00
amgx,1,6,4,-2.000000000000e+00
amgx,1,6,6,7.000000000000e+00
amgx,1,6,7,-1.000000000000e+00
amgx,1,6,8,-2.000000000000e+00
amgx,1,7,5,-2.000000000000e+00
amgx,1,7,6,-1.000000000000e+00
amgx,1,7,7,7.000000000000e+00
amgx,1,7,9,-2.000000000000e+00
amgx,1,8,6,-2.000000000000e+00
amgx,1,8,8,9.000000000000e+00
amgx,1,8,9,-1.000000000000e+00
amgx,1,9,7,-2.000000000000e+00
amgx,1,9,8,-1.000000000000e+00
amgx,1,9,9,9.000000000000e+00
amgx,2,0,0,8.000000000000e+00
amgx,2,0,1,-2.000000000000e+00
amgx,2,0,2,-2.000000000000e+00
amgx,2,1,0,-2.000000000000e+00
amgx,2,1,1,8.000000000000e+00
amgx,2,1,3,-2.000000000000e+00
amgx,2,2,0,-2.000000000000e+00
amgx,2,2,2,1.000000000000e+01
amgx,2,2,3,-2.000000000000e+00
amgx,2,2,4,-2.000000000000e+00
amgx,2,3,1,-2.000000000000e+00
amgx,2,3,2,-2.000000000000e+00
amgx,2,3,3,1.000000000000e+01
amgx,2,3,4,-2.000000000000e+00
amgx,2,4,2,-2.000000000000e+00
amgx,2,4,3,-2.000000000000e+00
amgx,2,4,4,1.600000000000e+01
amgx,3,0,0,1.200000000000e+01
amgx,3,0,1,-4.000000000000e+00
amgx,3,1,0,-4.000000000000e+00
amgx,3,1,1,2.400000000000e+01
brae,0,0,0,4.000000000000e+00
brae,0,0,1,-1.000000000000e+00
brae,0,0,4,-1.000000000000e+00
brae,0,1,0,-1.000000000000e+00
brae,0,1,1,3.000000000000e+00
brae,0,1,2,-1.000000000000e+00
brae,0,1,5,-1.000000000000e+00
brae,0,2,1,-1.000000000000e+00
brae,0,2,2,3.000000000000e+00
brae,0,2,3,-1.000000000000e+00
brae,0,2,6,-1.000000000000e+00
brae,0,3,2,-1.000000000000e+00
brae,0,3,3,4.000000000000e+00
brae,0,3,7,-1.000000000000e+00
brae,0,4,0,-1.000000000000e+00
brae,0,4,4,5.000000000000e+00
brae,0,4,5,-1.000000000000e+00
brae,0,4,8,-1.000000000000e+00
brae,0,5,1,-1.000000000000e+00
brae,0,5,4,-1.000000000000e+00
brae,0,5,5,4.000000000000e+00
brae,0,5,6,-1.000000000000e+00
brae,0,5,9,-1.000000000000e+00
brae,0,6,2,-1.000000000000e+00
brae,0,6,5,-1.000000000000e+00
brae,0,6,6,4.000000000000e+00
brae,0,6,7,-1.000000000000e+00
brae,0,6,10,-1.000000000000e+00
brae,0,7,3,-1.000000000000e+00
brae,0,7,6,-1.000000000000e+00
brae,0,7,7,5.000000000000e+00
brae,0,7,11,-1.000000000000e+00
brae,0,8,4,-1.000000000000e+00
brae,0,8,8,5.000000000000e+00
brae,0,8,9,-1.000000000000e+00
brae,0,8,12,-1.000000000000e+00
brae,0,9,5,-1.000000000000e+00
brae,0,9,8,-1.000000000000e+00
brae,0,9,9,4.000000000000e+00
brae,0,9,10,-1.000000000000e+00
brae,0,9,13,-1.000000000000e+00
brae,0,10,6,-1.000000000000e+00
brae,0,10,9,-1.000000000000e+00
brae,0,10,10,4.000000000000e+00
brae,0,10,11,-1.000000000000e+00
brae,0,10,14,-1.000000000000e+00
brae,0,11,7,-1.000000000000e+00
brae,0,11,10,-1.000000000000e+00
brae,0,11,11,5.000000000000e+00
brae,0,11,15,-1.000000000000e+00
brae,0,12,8,-1.000000000000e+00
brae,0,12,12,5.000000000000e+00
brae,0,12,13,-1.000000000000e+00
brae,0,12,16,-1.000000000000e+00
brae,0,13,9,-1.000000000000e+00
brae,0,13,12,-1.000000000000e+00
brae,0,13,13,4.000000000000e+00
brae,0,13,14,-1.000000000000e+00
brae,0,13,17,-1.000000000000e+00
brae,0,14,10,-1.000000000000e+00
brae,0,14,13,-1.000000000000e+00
brae,0,14,14,4.000000000000e+00
brae,0,14,15,-1.000000000000e+00
