cycle,cell,psi,residual,resnorm
4,19,0.2672633509267586,6.357549066210444e-05,5.431598758720021e-05
5,0,0.8742724245211888,-7.344647243723301e-07,5.450548182457195e-07
5,1,0.6243466057053482,-7.988488637256097e-08,5.450548182457195e-07
5,2,0.3756533178841978,7.151902635116336e-07,5.450548182457195e-07
5,3,0.1257280235597011,-1.075496564195699e-06,5.450548182457195e-07
5,4,0.8727423579146827,-3.842177875856834e-08,5.450548182457195e-07
5,5,0.6231139948257715,3.294142723042626e-07,5.450548182457195e-07
5,6,0.3768860395778076,-4.360535207914573e-07,5.450548182457195e-07
5,7,0.1272577008580423,1.741682268963096e-07,5.450548182457195e-07
5,8,0.8663253318046742,4.18794043333115e-07,5.450548182457195e-07
5,9,0.6184813055195196,-5.163794106755049e-07,5.450548182457195e-07
5,10,0.3815187086896981,4.746564216673299e-07,5.450548182457195e-07
5,11,0.1336746153209299,-3.013187231948322e-07,5.450548182457195e-07
5,12,0.840403414383212,2.927060278601346e-07,5.450548182457195e-07
5,13,0.602966670378524,7.082113939738122e-08,5.450548182457195e-07
5,14,0.3970333489969569,-4.04741747006554e-07,5.450548182457195e-07
5,15,0.1595963657381858,6.842565781761678e-07,5.450548182457195e-07
5,16,0.7327253624388895,-7.68145780316587e-08,5.450548182457195e-07
5,17,0.5559486834355472,-1.379206495122354e-07,5.450548182457195e-07
5,18,0.4440512464396726,3.488637613235923e-07,5.450548182457195e-07
5,19,0.2672745486296203,3.204001365331166e-07,5.450548182457195e-07
6,0,0.8742722092603993,6.27771697958579e-08,5.269959183126878e-08
6,1,0.6243465680187389,-5.578011086360135e-08,5.269959183126878e-08
6,2,0.3756534288356106,3.699524714351199e-08,5.269959183126878e-08
6,3,0.1257277707709427,6.185564449534553e-09,5.269959183126878e-08
6,4,0.872742331800028,-3.133418380318886e-08,5.269959183126878e-08
6,5,0.623114010180096,7.200160234699382e-08,5.269959183126878e-08
6,6,0.3768859847123973,-6.736979712984592e-08,5.269959183126878e-08
6,7,0.1272576604337248,5.064513616814814e-08,5.269959183126878e-08
6,8,0.8663254082254611,1.380917324933506e-08,5.269959183126878e-08
6,9,0.6184812281908224,-4.873120940107611e-08,5.269959183126878e-08
6,10,0.3815187720303604,5.664924729309462e-08,5.269959183126878e-08
6,11,0.1336745973304202,-3.993309194427752e-08,5.269959183126878e-08
6,12,0.8404034949456285,-3.294660733121901e-08,5.269959183126878e-08
6,13,0.6029666735961626,4.026044553295804e-08,5.269959183126878e-08
6,14,0.3970333345370491,-4.705377637526098e-08,5.269959183126878e-08
6,15,0.1595965142549239,7.156162162846869e-09,5.269959183126878e-08
6,16,0.7327253599599115,1.215775558005561e-08,5.269959183126878e-08
6,17,0.5559486769715961,-2.00889329060594e-08,5.269959183126878e-08
6,18,0.4440513312129733,2.007091326472477e-09,5.269959183126878e-08
